"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"prop_switch_y"
26	0.811736874236874	15	15	"Heart"	0
27	0.771969696969697	13	15	"Heart"	0
28	0.798406862745098	15	15	"Heart"	0
29	0.789263733758833	14	15	"Heart"	0
30	0.769812462189958	14	15	"Heart"	0
1	0.854177815151747	15	16	"Heart"	0
2	0.771153846153846	16	16	"Heart"	0
3	0.77833800894685	15	16	"Heart"	0
4	0.814644255123187	14	16	"Heart"	0
5	0.773913043478261	15	16	"Heart"	0
6	0.763666691940253	14	16	"Heart"	0
7	0.789714285714286	13	16	"Heart"	0
8	0.772692307692308	13	16	"Heart"	0
9	0.740532848446518	16	16	"Heart"	0
10	0.816538461538462	13	16	"Heart"	0
11	0.801317401960784	12	16	"Heart"	0
12	0.81447619047619	11	16	"Heart"	0
13	0.832	14	16	"Heart"	0
14	0.814026251526252	15	16	"Heart"	0
15	0.776108075288403	14	16	"Heart"	0
16	0.777575381753353	14	16	"Heart"	0
17	0.778260869565217	14	16	"Heart"	0
18	0.804245283018868	14	16	"Heart"	0
19	0.814645124989953	16	16	"Heart"	0
20	0.718212146485708	12	16	"Heart"	0
21	0.803885853066181	16	16	"Heart"	0
22	0.778762437810945	15	16	"Heart"	0
23	0.778223365617433	13	16	"Heart"	0
24	0.804952380952381	14	16	"Heart"	0
25	0.819120762711864	16	16	"Heart"	0
26	0.832763467821594	15	16	"Heart"	0
27	0.816882232811436	16	16	"Heart"	0
28	0.823358050847458	15	16	"Heart"	0
29	0.768076923076923	15	16	"Heart"	0
30	0.765847953216374	16	16	"Heart"	0
1	0.772293491864831	15	17	"Heart"	0
2	0.764526840066408	15	17	"Heart"	0
3	0.778684701492537	13	17	"Heart"	0
4	0.79726368159204	16	17	"Heart"	0
5	0.779545454545455	13	17	"Heart"	0
6	0.791895604395604	13	17	"Heart"	0
7	0.846001221001221	14	17	"Heart"	0
8	0.817307692307692	15	17	"Heart"	0
9	0.842764126811875	15	17	"Heart"	0
10	0.787355447352404	14	17	"Heart"	0
11	0.763428571428571	11	17	"Heart"	0
12	0.76844262295082	13	17	"Heart"	0
