"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"IMPUTED"	"prop_NAs"
4	0.881333667640518	10	10	"Churn"	"Yes"	0.1
5	0.839080267558528	10	10	"Churn"	"Yes"	0.1
6	0.881218812375249	10	10	"Churn"	"Yes"	0.1
7	0.929266772167074	10	10	"Churn"	"Yes"	0.1
8	0.874544072948328	10	10	"Churn"	"Yes"	0.1
9	0.876209548587339	10	10	"Churn"	"Yes"	0.1
10	0.898631535947712	10	10	"Churn"	"Yes"	0.1
11	0.905624514185775	10	10	"Churn"	"Yes"	0.1
12	0.861047682101309	10	10	"Churn"	"Yes"	0.1
13	0.889069913679758	10	10	"Churn"	"Yes"	0.1
14	0.848316653711621	10	10	"Churn"	"Yes"	0.1
15	0.875	10	10	"Churn"	"Yes"	0.1
16	0.843889597007636	10	10	"Churn"	"Yes"	0.1
17	0.880628686519925	10	10	"Churn"	"Yes"	0.1
18	0.866877692781148	10	10	"Churn"	"Yes"	0.1
19	0.878273765568848	10	10	"Churn"	"Yes"	0.1
20	0.888289454754712	10	10	"Churn"	"Yes"	0.1
21	0.861141879584503	10	10	"Churn"	"Yes"	0.1
22	0.871831070889894	10	10	"Churn"	"Yes"	0.1
23	0.906057315233786	10	10	"Churn"	"Yes"	0.1
24	0.882469471458282	10	10	"Churn"	"Yes"	0.1
25	0.905111350057088	10	10	"Churn"	"Yes"	0.1
26	0.860458521870287	10	10	"Churn"	"Yes"	0.1
27	0.87986740516952	10	10	"Churn"	"Yes"	0.1
28	0.887911123429416	10	10	"Churn"	"Yes"	0.1
29	0.845376113818737	10	10	"Churn"	"Yes"	0.1
30	0.895865365979714	10	10	"Churn"	"Yes"	0.1
1	0.856623341221951	11	11	"Churn"	"Yes"	0.1
2	0.873134054648817	11	11	"Churn"	"Yes"	0.1
3	0.886687115851604	11	11	"Churn"	"Yes"	0.1
4	0.859043469699207	11	11	"Churn"	"Yes"	0.1
5	0.891387195121951	11	11	"Churn"	"Yes"	0.1
6	0.824794093846648	11	11	"Churn"	"Yes"	0.1
7	0.87606821932881	11	11	"Churn"	"Yes"	0.1
8	0.845084154351396	11	11	"Churn"	"Yes"	0.1
9	0.872941628359374	11	11	"Churn"	"Yes"	0.1
10	0.8735069380769	11	11	"Churn"	"Yes"	0.1
11	0.863004524886878	11	11	"Churn"	"Yes"	0.1
12	0.855265789133171	11	11	"Churn"	"Yes"	0.1
13	0.891892896526943	11	11	"Churn"	"Yes"	0.1
14	0.845638984121256	11	11	"Churn"	"Yes"	0.1
15	0.860408638655879	11	11	"Churn"	"Yes"	0.1
16	0.835187594139395	11	11	"Churn"	"Yes"	0.1
17	0.831216646141215	11	11	"Churn"	"Yes"	0.1
18	0.889015661540642	11	11	"Churn"	"Yes"	0.1
19	0.881825792196742	11	11	"Churn"	"Yes"	0.1
20	0.858250039044198	11	11	"Churn"	"Yes"	0.1
21	0.856759219296984	11	11	"Churn"	"Yes"	0.1
22	0.854304314030315	11	11	"Churn"	"Yes"	0.1
23	0.902870002338087	11	11	"Churn"	"Yes"	0.1
24	0.867915595043255	11	11	"Churn"	"Yes"	0.1
25	0.869614651416122	11	11	"Churn"	"Yes"	0.1
26	0.8691804737779	11	11	"Churn"	"Yes"	0.1
27	0.835202532463337	11	11	"Churn"	"Yes"	0.1
28	0.865080640532629	11	11	"Churn"	"Yes"	0.1
29	0.848546911596349	11	11	"Churn"	"Yes"	0.1
30	0.869194520015546	11	11	"Churn"	"Yes"	0.1
1	0.870390036053753	12	12	"Churn"	"Yes"	0.1
2	0.850624785051015	12	12	"Churn"	"Yes"	0.1
3	0.84465440270936	12	12	"Churn"	"Yes"	0.1
4	0.865605828220859	12	12	"Churn"	"Yes"	0.1
5	0.864931697444978	12	12	"Churn"	"Yes"	0.1
6	0.845450049455984	12	12	"Churn"	"Yes"	0.1
7	0.886312684365782	12	12	"Churn"	"Yes"	0.1
8	0.864476049358725	12	12	"Churn"	"Yes"	0.1
9	0.846784635304273	12	12	"Churn"	"Yes"	0.1
10	0.866308205054429	12	12	"Churn"	"Yes"	0.1
11	0.890536591068506	12	12	"Churn"	"Yes"	0.1
12	0.892003287788724	12	12	"Churn"	"Yes"	0.1
13	0.887717298375606	12	12	"Churn"	"Yes"	0.1
14	0.863787517574424	12	12	"Churn"	"Yes"	0.1
15	0.882534930139721	12	12	"Churn"	"Yes"	0.1
16	0.87379599614254	12	12	"Churn"	"Yes"	0.1
17	0.813350174893121	12	12	"Churn"	"Yes"	0.1
18	0.843620388914013	12	12	"Churn"	"Yes"	0.1
